name;code;memo
外包公司;organName;委外协议
委案日期;outTime;委外协议
预计退案日期;planQuitTime;委外协议
手别;outCnt;委外协议
逾期天数;ovdDays;贷款产品
贷款类型;product;贷款产品
案件标号;caseSeqno;委外协议
委案金额;balanceDue;贷款产品汇总
地区;caseArea;委外协议
淘宝ID;taobao;接口
买家星级;sellerStar;接口
卖家星级;buyerStar;接口
支付宝账户号码;bindAlipay;CustomerBasicInfo
姓名;fullName;CustomerBasicInfo
证件号;credNum;CustomerBasicInfo
性别;gender;CustomerBasicInfo
家庭地址;homeAddress;CustomerBasicInfo
户籍地址;regisPlace;CustomerBasicInfo
手机;phoneNum;委外协议PHONE_NUM
联系人;contactNameExcel;CustomerBasicInfo
联系人电话;contaictMobileExcel;CustomerBasicInfo
个人手机;mobilePhone;CustomerBasicInfo
个人邮箱;email;CustomerBasicInfo
联系地址;contactAddress;无
配偶姓名;mateName;CustomerBasicInfo
配偶手机;mateMobile;CustomerBasicInfo
实际控制人姓名;managerName;CustomerBasicInfo
实际控制人手机;managerPhone;CustomerBasicInfo
最大供应商名称;largestSupplier;CustomerBasicInfo
最大供应商联系人姓名;lsContactName;CustomerBasicInfo
最大供应商联系电话;lsContactTelephone;CustomerBasicInfo
最大客户名称;largestCustomer;CustomerBasicInfo
最大客户联系人;lcContactName;CustomerBasicInfo
最大客户联系电话lcContactTelephone;CustomerBasicInfo
